ID                                     0xd5cb
Delivery_person_ID             AURGRES05DEL02
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.875522
Restaurant_longitude                75.367127
Delivery_location_latitude          19.895522
Delivery_location_longitude         75.387127
Order_Date                         15-02-2022
Time_Orderd                             11:35
Time_Order_picked                       11:40
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 11784, dtype: object
