ID                                      0x639e
Delivery_person_ID             COIMBRES02DEL03
Delivery_person_Age                  20.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.052477
Delivery_location_longitude          77.025667
Order_Date                          19-03-2022
Time_Orderd                              18:25
Time_Order_picked                        18:40
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 36950, dtype: object
