ID                                      0x22da
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.150910
Delivery_location_longitude          77.070432
Order_Date                          20-03-2022
Time_Orderd                              18:50
Time_Order_picked                        18:55
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     46.000000
Name: 12992, dtype: object
