ID                                       0xba7b
Delivery_person_ID              COIMBRES13DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   11.003669
Restaurant_longitude                  76.976494
Delivery_location_latitude            11.013669
Delivery_location_longitude           76.986494
Order_Date                           07-03-2022
Time_Orderd                                9:60
Time_Order_picked                         10:10
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      11.000000
Name: 1780, dtype: object
