ID                                     0xa1e6
Delivery_person_ID             INDORES15DEL01
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.770072
Delivery_location_longitude         75.902574
Order_Date                         01-03-2022
Time_Orderd                             10:45
Time_Order_picked                       10:55
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 39448, dtype: object
