ID                                      0x93c
Delivery_person_ID             PUNERES08DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.60408
Delivery_location_longitude          73.96852
Order_Date                         02-04-2022
Time_Orderd                               NaN
Time_Order_picked                       19:35
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                   3.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     49.00000
Name: 37603, dtype: object
