ID                                       0xae93
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       36.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           24-03-2022
Time_Orderd                                9:55
Time_Order_picked                          9:60
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          25.00
Name: 4856, dtype: object
