ID                                        0x8c5
Delivery_person_ID             RANCHIRES17DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.454878
Delivery_location_longitude           85.415739
Order_Date                           10-03-2022
Time_Orderd                               22:25
Time_Order_picked                         22:30
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 34345, dtype: object
