ID                                    0xbf13
Delivery_person_ID             KOLRES17DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.569358
Restaurant_longitude               88.433452
Delivery_location_latitude         22.589358
Delivery_location_longitude        88.453452
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      10:35
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 44475, dtype: object
