ID                                       0xc9e4
Delivery_person_ID                BHPRES11DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.233219
Restaurant_longitude                  77.433571
Delivery_location_latitude            23.243219
Delivery_location_longitude           77.443571
Order_Date                           15-02-2022
Time_Orderd                               10:25
Time_Order_picked                         10:30
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 38890, dtype: object
