ID                                    0xd4df
Delivery_person_ID             KOLRES20DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.514119
Restaurant_longitude               88.362504
Delivery_location_latitude         22.594119
Delivery_location_longitude        88.442504
Order_Date                        18-02-2022
Time_Orderd                            22:30
Time_Order_picked                      22:45
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   28.000000
Name: 1058, dtype: object
