ID                                    0xaed0
Delivery_person_ID             JAPRES15DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.891191
Restaurant_longitude               75.802083
Delivery_location_latitude         26.981191
Delivery_location_longitude        75.892083
Order_Date                        08-03-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 14745, dtype: object
