ID                                    0x4c1a
Delivery_person_ID             HYDRES16DEL02
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                17.440827
Restaurant_longitude               78.393391
Delivery_location_latitude         17.520827
Delivery_location_longitude        78.473391
Order_Date                        02-04-2022
Time_Orderd                            18:15
Time_Order_picked                      18:20
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 35066, dtype: object
