ID                                    0xce0a
Delivery_person_ID             KOLRES04DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                22.538731
Restaurant_longitude               88.364878
Delivery_location_latitude         22.668731
Delivery_location_longitude        88.494878
Order_Date                        12-02-2022
Time_Orderd                            21:60
Time_Order_picked                      22:15
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   36.000000
Name: 26771, dtype: object
