ID                                    0x6eee
Delivery_person_ID             VADRES05DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                22.310526
Restaurant_longitude               73.170937
Delivery_location_latitude         22.320526
Delivery_location_longitude        73.180937
Order_Date                        05-03-2022
Time_Orderd                            10:30
Time_Order_picked                      10:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 35629, dtype: object
