ID                                      0xaa67
Delivery_person_ID             COIMBRES04DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.084839
Delivery_location_longitude          77.067003
Order_Date                          21-03-2022
Time_Orderd                              22:10
Time_Order_picked                        22:20
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     18.000000
Name: 33196, dtype: object
