ID                                     0xdb2d
Delivery_person_ID             LUDHRES07DEL01
Delivery_person_Age                     20.00
Delivery_person_Ratings                  4.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.11
Delivery_location_longitude              0.11
Order_Date                         16-02-2022
Time_Orderd                             21:35
Time_Order_picked                       21:45
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                  Yes
City                                      NaN
Time_taken (min)                        43.00
Name: 34081, dtype: object
