ID                                     0xc0fd
Delivery_person_ID             LUDHRES15DEL03
Delivery_person_Age                 24.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                -30.899584
Restaurant_longitude                75.809346
Delivery_location_latitude          30.929584
Delivery_location_longitude         75.839346
Order_Date                         11-02-2022
Time_Orderd                             17:60
Time_Order_picked                       18:10
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 17421, dtype: object
