ID                                       0x2a41
Delivery_person_ID                MYSRES04DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.308500
Restaurant_longitude                  76.665808
Delivery_location_latitude            12.418500
Delivery_location_longitude           76.775808
Order_Date                           20-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:45
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 44935, dtype: object
