ID                                        0x2c18
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    26.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.374422
Delivery_location_longitude            85.352900
Order_Date                            21-03-2022
Time_Orderd                                 9:20
Time_Order_picked                           9:35
Weather conditions                           Fog
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       20.000000
Name: 18574, dtype: object
