ID                                       0x98cf
Delivery_person_ID              COIMBRES18DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   11.020910
Restaurant_longitude                  76.940432
Delivery_location_latitude            11.060910
Delivery_location_longitude           76.980432
Order_Date                           13-03-2022
Time_Orderd                               15:15
Time_Order_picked                         15:20
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 25543, dtype: object
