ID                                     0xbd66
Delivery_person_ID             INDORES20DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 22.732225
Restaurant_longitude                75.874765
Delivery_location_latitude          22.742225
Delivery_location_longitude         75.884765
Order_Date                         11-03-2022
Time_Orderd                              8:15
Time_Order_picked                        8:25
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 15591, dtype: object
