ID                                    0xe1b2
Delivery_person_ID             GOARES01DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                15.576683
Restaurant_longitude               73.755750
Delivery_location_latitude         15.706683
Delivery_location_longitude        73.885750
Order_Date                        16-02-2022
Time_Orderd                            18:20
Time_Order_picked                      18:30
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   43.000000
Name: 32355, dtype: object
