ID                                    0xdada
Delivery_person_ID             KOCRES08DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                 9.985497
Restaurant_longitude               76.276999
Delivery_location_latitude         10.025497
Delivery_location_longitude        76.316999
Order_Date                        11-02-2022
Time_Orderd                            16:15
Time_Order_picked                      16:30
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 37442, dtype: object
