ID                                       0xbfac
Delivery_person_ID                GOARES07DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   15.561295
Restaurant_longitude                  73.749478
Delivery_location_latitude            15.601295
Delivery_location_longitude           73.789478
Order_Date                           13-02-2022
Time_Orderd                               15:35
Time_Order_picked                         15:40
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      16.000000
Name: 38384, dtype: object
