ID                                       0x7cfc
Delivery_person_ID                SURRES15DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.160522
Restaurant_longitude                  72.771477
Delivery_location_latitude            21.250522
Delivery_location_longitude           72.861477
Order_Date                           18-03-2022
Time_Orderd                               22:10
Time_Order_picked                         22:15
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 26102, dtype: object
