ID                                    0xdcfe
Delivery_person_ID             DEHRES07DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                30.362686
Restaurant_longitude               78.068890
Delivery_location_latitude         30.372686
Delivery_location_longitude        78.078890
Order_Date                        15-02-2022
Time_Orderd                            11:45
Time_Order_picked                      11:50
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 26357, dtype: object
