ID                                    0x2ad5
Delivery_person_ID             MUMRES19DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.261140
Delivery_location_longitude        72.943074
Order_Date                        18-03-2022
Time_Orderd                            19:45
Time_Order_picked                      19:55
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 13127, dtype: object
