ID                                       0x6cad
Delivery_person_ID                JAPRES20DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   26.956431
Restaurant_longitude                  75.776649
Delivery_location_latitude            26.996431
Delivery_location_longitude           75.816649
Order_Date                           05-04-2022
Time_Orderd                               12:15
Time_Order_picked                         12:30
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 4284, dtype: object
