ID                                    0xd14a
Delivery_person_ID             ALHRES19DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                25.457116
Restaurant_longitude               81.859682
Delivery_location_latitude         25.497116
Delivery_location_longitude        81.899682
Order_Date                        15-02-2022
Time_Orderd                            16:15
Time_Order_picked                      16:20
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   10.000000
Name: 8682, dtype: object
