ID                                        0x49a
Delivery_person_ID                MUMRES15DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -19.176269
Restaurant_longitude                 -72.836721
Delivery_location_latitude            19.226269
Delivery_location_longitude           72.886721
Order_Date                           17-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      28.000000
Name: 38111, dtype: object
