ID                                     0x2df7
Delivery_person_ID             CHENRES01DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.025801
Delivery_location_longitude         80.270744
Order_Date                         28-03-2022
Time_Orderd                              8:45
Time_Order_picked                        8:60
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    13.000000
Name: 18164, dtype: object
