ID                                       0xa1ac
Delivery_person_ID                HYDRES20DEL02
Delivery_person_Age                   29.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   17.483216
Restaurant_longitude                  78.552111
Delivery_location_latitude            17.563216
Delivery_location_longitude           78.632111
Order_Date                           31-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 38450, dtype: object
