ID                                     0xdef0
Delivery_person_ID             AURGRES12DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          19.919631
Delivery_location_longitude         75.363403
Order_Date                         11-02-2022
Time_Orderd                             16:15
Time_Order_picked                       16:20
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 32879, dtype: object
