ID                                     0x32ad
Delivery_person_ID             JAPRES010DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 26.921411
Restaurant_longitude                75.793604
Delivery_location_latitude          27.001411
Delivery_location_longitude         75.873604
Order_Date                         29-03-2022
Time_Orderd                               NaN
Time_Order_picked                       18:40
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    45.000000
Name: 16879, dtype: object
