ID                                      0xeb4
Delivery_person_ID             INDORES13DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.785049
Delivery_location_longitude         75.932471
Order_Date                         28-03-2022
Time_Orderd                             12:60
Time_Order_picked                       13:05
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    37.000000
Name: 14004, dtype: object
