ID                                    0xd1c2
Delivery_person_ID             KOLRES09DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.515082
Restaurant_longitude               88.367830
Delivery_location_latitude         22.555082
Delivery_location_longitude        88.407830
Order_Date                        15-02-2022
Time_Orderd                            16:35
Time_Order_picked                      16:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   29.000000
Name: 16271, dtype: object
