ID                                      0xa5e3
Delivery_person_ID             COIMBRES20DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.084136
Delivery_location_longitude          77.053303
Order_Date                          14-03-2022
Time_Orderd                              19:15
Time_Order_picked                        19:20
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     54.000000
Name: 27013, dtype: object
