ID                                      0x2d8b
Delivery_person_ID             COIMBRES04DEL03
Delivery_person_Age                  35.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.114839
Delivery_location_longitude          77.097003
Order_Date                          06-04-2022
Time_Orderd                              18:20
Time_Order_picked                        18:25
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     32.000000
Name: 16726, dtype: object
