ID                                     0xdcd1
Delivery_person_ID             AURGRES12DEL03
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          19.939631
Delivery_location_longitude         75.383403
Order_Date                         17-02-2022
Time_Orderd                             23:35
Time_Order_picked                       23:45
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 7108, dtype: object
