ID                                    0x504c
Delivery_person_ID             SURRES09DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.175975
Restaurant_longitude               72.795503
Delivery_location_latitude         21.285975
Delivery_location_longitude        72.905503
Order_Date                        12-03-2022
Time_Orderd                            18:40
Time_Order_picked                      18:50
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   29.000000
Name: 37163, dtype: object
