ID                                       0x592c
Delivery_person_ID             RANCHIRES20DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.489250
Delivery_location_longitude           85.480464
Order_Date                           02-03-2022
Time_Orderd                               20:20
Time_Order_picked                         20:25
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      49.000000
Name: 18139, dtype: object
