ID                                       0x38df
Delivery_person_ID                MUMRES14DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.181300
Restaurant_longitude                  72.836191
Delivery_location_latitude            19.231300
Delivery_location_longitude           72.886191
Order_Date                           11-03-2022
Time_Orderd                               20:25
Time_Order_picked                         20:30
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      29.000000
Name: 11003, dtype: object
