ID                                    0xcd85
Delivery_person_ID             KOLRES09DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                22.515082
Restaurant_longitude               88.367830
Delivery_location_latitude         22.525082
Delivery_location_longitude        88.377830
Order_Date                        15-02-2022
Time_Orderd                             8:60
Time_Order_picked                       9:10
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   11.000000
Name: 30245, dtype: object
