ID                                       0xc35e
Delivery_person_ID                ALHRES20DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   25.454697
Restaurant_longitude                  81.834492
Delivery_location_latitude            25.564697
Delivery_location_longitude           81.944492
Order_Date                           18-02-2022
Time_Orderd                               20:55
Time_Order_picked                         20:60
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 6092, dtype: object
