ID                                    0xb10c
Delivery_person_ID             MUMRES03DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                19.223840
Restaurant_longitude               72.841347
Delivery_location_latitude         19.333840
Delivery_location_longitude        72.951347
Order_Date                        18-03-2022
Time_Orderd                            19:15
Time_Order_picked                      19:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 2619, dtype: object
