ID                                     0xd3a4
Delivery_person_ID             LUDHRES07DEL03
Delivery_person_Age                     30.00
Delivery_person_Ratings                  4.40
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.06
Delivery_location_longitude              0.06
Order_Date                         13-02-2022
Time_Orderd                             20:20
Time_Order_picked                       20:30
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      2.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        37.00
Name: 2857, dtype: object
