ID                                      0xaf10
Delivery_person_ID             COIMBRES20DEL03
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.024136
Delivery_location_longitude          76.993303
Order_Date                          09-03-2022
Time_Orderd                              20:60
Time_Order_picked                        21:05
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 19227, dtype: object
