ID                                       0x2aed
Delivery_person_ID                MYSRES20DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.337978
Restaurant_longitude                  76.616792
Delivery_location_latitude            12.397978
Delivery_location_longitude           76.676792
Order_Date                           30-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:25
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 24295, dtype: object
