ID                                     0xc7b1
Delivery_person_ID             AURGRES18DEL02
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 19.888716
Restaurant_longitude                75.321461
Delivery_location_latitude          19.968716
Delivery_location_longitude         75.401461
Order_Date                         14-02-2022
Time_Orderd                             21:55
Time_Order_picked                       22:10
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 39035, dtype: object
