ID                                     0x5dda
Delivery_person_ID             PUNERES16DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 18.536718
Restaurant_longitude                73.830327
Delivery_location_latitude          18.586718
Delivery_location_longitude         73.880327
Order_Date                         11-03-2022
Time_Orderd                             17:60
Time_Order_picked                       18:15
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 266, dtype: object
