ID                                    0xc0c0
Delivery_person_ID             KOCRES16DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -10.003064
Restaurant_longitude               76.307589
Delivery_location_latitude         10.133064
Delivery_location_longitude        76.437589
Order_Date                        12-02-2022
Time_Orderd                            22:25
Time_Order_picked                      22:30
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 38607, dtype: object
