ID                                     0xbf23
Delivery_person_ID             LUDHRES20DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 30.885915
Restaurant_longitude                75.788259
Delivery_location_latitude          30.925915
Delivery_location_longitude         75.828259
Order_Date                         13-02-2022
Time_Orderd                               NaN
Time_Order_picked                       12:25
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    10.000000
Name: 6237, dtype: object
