ID                                       0xbefe
Delivery_person_ID               AGRRES010DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   27.163303
Restaurant_longitude                  78.057044
Delivery_location_latitude            27.293303
Delivery_location_longitude           78.187044
Order_Date                           12-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:15
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 37488, dtype: object
