ID                                       0x5efb
Delivery_person_ID             RANCHIRES19DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.343017
Delivery_location_longitude           85.327200
Order_Date                           07-03-2022
Time_Orderd                                8:45
Time_Order_picked                          8:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 1915, dtype: object
