ID                                       0x7e3b
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       35.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           17-03-2022
Time_Orderd                               12:10
Time_Order_picked                         12:20
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          27.00
Name: 37483, dtype: object
