ID                                     0x92ba
Delivery_person_ID             PUNERES17DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.530963
Restaurant_longitude                73.828972
Delivery_location_latitude          18.550963
Delivery_location_longitude         73.848972
Order_Date                         30-03-2022
Time_Orderd                              9:25
Time_Order_picked                        9:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 3946, dtype: object
