ID                                       0xb04f
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       24.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           03-04-2022
Time_Orderd                               10:60
Time_Order_picked                         11:15
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                                        NaN
Time_taken (min)                          12.00
Name: 35961, dtype: object
