ID                                     0x5ee3
Delivery_person_ID             INDORES04DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.793659
Delivery_location_longitude         75.943365
Order_Date                         07-03-2022
Time_Orderd                             14:50
Time_Order_picked                       14:55
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 42684, dtype: object
