ID                                       0x458c
Delivery_person_ID              INDORES010DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.750040
Restaurant_longitude                  75.902847
Delivery_location_latitude            22.860040
Delivery_location_longitude           76.012847
Order_Date                           06-03-2022
Time_Orderd                               17:25
Time_Order_picked                         17:30
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 13294, dtype: object
