ID                                       0xbf7a
Delivery_person_ID                KNPRES17DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.483042
Restaurant_longitude                  80.317833
Delivery_location_latitude            26.543042
Delivery_location_longitude           80.377833
Order_Date                           17-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 22093, dtype: object
