ID                                      0xadb7
Delivery_person_ID             COIMBRES05DEL01
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.092169
Delivery_location_longitude          77.069594
Order_Date                          12-03-2022
Time_Orderd                              23:60
Time_Order_picked                        24:15
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     37.000000
Name: 14075, dtype: object
