ID                                    0x98ab
Delivery_person_ID             MUMRES02DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.221315
Restaurant_longitude               72.862381
Delivery_location_latitude         19.301315
Delivery_location_longitude        72.942381
Order_Date                        10-03-2022
Time_Orderd                            21:60
Time_Order_picked                      22:15
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 36816, dtype: object
