ID                                    0xca5b
Delivery_person_ID             KOCRES03DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                10.020683
Restaurant_longitude               76.310631
Delivery_location_latitude         10.040683
Delivery_location_longitude        76.330631
Order_Date                        17-02-2022
Time_Orderd                             8:35
Time_Order_picked                       8:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 37773, dtype: object
